Código,Cantidad,Nombre del Producto,Categoria
F398,4,FPC PARA SAMSUNG A30S / A21S/ A31 / A51 / A70 / A71 / A80 / 78 PINES,Conector
F399,1,FPC COMPATIBLE CON SAMSUNG A02 / A12 / A22 / A32 / A52 /A34 / A72 / 78 PINES,Conector
F401,1,FLEX INTERCONEXION SAM A22 4G - A225 / A32 - A325,Conector
F406,1,FPC IMAGEN MOTO E6I / E6S / E7I POWER,Conector
F409,1,FPC COMPATIBLE CON SAM NOTE 20 / NOTE 20 ULTRA / S20 5G / S20 PLUS / S20 ULTRA / S21 5G / S21 PLUS 5G / S21 ULTRA 5G (56 PIN),Conector
F411,1,CONECTOR FPC DE CARGA A30 / A40 / A50 / A50S - 40 PINES,Conector
F427,1,FLEX INTERCONEXION SAM A52,Conector
F435,1,FLEX INTERCONEXION SAM S20 FE (PLACA FLEX),Conector
F453,1,FLEX DE INTERCONEXION XIAOMI REDMI POCO X3,Conector
F6843,3,MOUSE PAD ERGONOMICO CON GEL CDTEK NEGRO,Mousepad
FU1424,1,FUENTE AUREOX PARA PC UNLIMITED SERIES 650W REALES / 80 PLUS BRONZE / COLOR NEGRA,Herramienta
FU6823,3,MOUSE PAD ERGONOMICO CON GEL CDTEK AZUL,Mousepad
FU6824,1,MOUSE PAD ERGONOMICO CON GEL CDTEK ESTAMPADO,Mousepad
FU6833,1,MICROFONO XMC-01 XTRIKE ME,Microfono
FU687153,2,MOUSE PAD GAMER GLADIUS XXL NETMAK 80X30 NM-GLADIUS-2,Mousepad
FU7536,1,"FUNDA PORTA NOTEBOOK 15,6 PULGADAS CON BOLSILLO / NEGRA / DEHUKA",Accesorio notebook
FU9716,1,FUENTE PC NOGA ATX-550 24 PINES P4 550W ATX 550 P4,Herramienta
FV146,1,FLEX DE ENCENDIDO Y VOLUMEN SAM A30,Conector
H1500,4,ALCOHOL ISOPROPILICO PROMAX CHEMITEC X500CC,Herramienta
H1505,5,FLUX JERINGA 100% ORGANICO NO TOXICO 10CC - EL REPA,Herramienta
H1506,2,FLUX 100% ORGANICO EN TARRO CHICO 30CC NO TOXICO,Herramienta
H1519,1,REMOVEDOR DE FLUX Y SULFATO 100CC,Herramienta
H1542,2,ALCOHOL ISOPROPILICO ALTA PUREZA DELTA 1 LITRO PHXL,Herramienta
H89156,1,CAJA PLASTICA ALMACENAMIENTO PLACA SS001A,Herramienta
H89167,1,RESINA - ROSIN PARA DETECTAR CORTOS,Herramienta
H8973,3,TESTER USB VOLTIMETRO KWS-V20 EC100079,Herramienta
H8989,2,USB TESTER - SS302AÂ ,Herramienta
H8991,1,CINTA KAPTON 10MM (FINA),Herramienta
H8996,3,PUNTA RELIFE RL-900M-I (RECTA),Herramienta
H90002,1,DOCK TEST RELIFE TB-07 PARA IPHONE ANDROID TIPO C MIRO USB,Herramienta
H9005,1,CINTA KAPTON 15MM,Herramienta
H9007,1,TWEEZER PINZA SUNSHINE (RECTA) - SK11Â ,Herramienta
